SEXE,Dpt,NIVEAU,Avez-vous Linkedin ? ,Nb abonné
M,M.L.T.,2,1,54
M,ST.I.D.,2,1,91
M,G.E.A.,1,1,4
F,G.O.M.FI-R.,3,1,239
F,G.E.A.,1,1,9
F,Q.L.I.O.,1,1,1
F,C.P.G.R.,3,1,131
F,ST.I.D.,2,1,71
F,L.G.,3,1,87
M,ST.I.D.,3,0,0
F,H.S.E.,2,1,66
F,G.E.A.,2,1,68
M,ST.I.D.,1,0,0
M,ST.I.D.,2,1,105
M,Q.L.I.O.,1,1,0
F,M.L.T.,2,1,76
M,ST.I.D.,3,1,66
M,ST.I.D.,2,1,73
M,Q.L.I.O.,3,1,117
M,H.S.E.,1,1,0
F,Q.L.I.O.,1,1,9
F,G.E.A.,2,1,46
F,M.L.T.,2,1,80
M,Q.L.I.O.,2,1,14
M,G.E.A.,3,1,32
M,C.P.G.R.,3,1,88
M,H.S.E.,1,1,3
F,H.S.E.,1,1,82
F,H.S.E.,1,1,47
M,M.L.T.,1,1,26
M,Q.L.I.O.,2,1,83
F,H.S.E.,2,1,22
M,G.O.M.FI-R.,3,0,0
M,G.E.A.,1,0,0
F,Q.L.I.O.,2,1,12
M,ST.I.D.,1,0,0
F,G.E.A.,3,0,0
M,M.L.T.,1,1,32
M,G.E.A.,1,1,27
F,C.P.G.R.,3,1,38
F,Q.L.I.O.,2,1,29
F,Q.L.I.O.,2,1,0
F,C.P.G.R.,3,1,84
M,H.S.E.,1,1,18
F,G.E.A.,3,1,3
M,M.L.T.,1,1,35
F,M.L.T.,2,1,47
M,G.E.A.,2,1,108
M,ST.I.D.,2,1,24
M,ST.I.D.,3,1,35
M,ST.I.D.,1,1,0
M,Q.L.I.O.,2,1,16
M,L.G.,3,1,99
F,ST.I.D.,3,1,334
M,Q.L.I.O.,2,1,10
F,G.E.A.,3,1,59
M,L.G.,3,0,0
M,H.S.E.,2,0,0
M,G.E.A.,1,1,31
F,C.P.G.R.,3,1,129
F,M.L.T.,2,1,52
M,G.O.M.FI-R.,3,1,118
F,Q.L.I.O.,3,1,60
M,ST.I.D.,3,1,5
F,L.G.,3,1,259
F,Q.L.I.O.,1,1,105
M,Q.L.I.O.,2,0,0
M,Q.L.I.O.,1,1,0
M,Q.L.I.O.,2,1,66
F,H.S.E.,1,1,15
F,ST.I.D.,1,0,0
M,L.G.,3,1,245
F,G.E.A.,1,1,0
F,G.E.A.,1,1,35
M,M.L.T.,2,1,77